pair,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2
"('NNY', 'NCB')",,True,False,False,False
"('NID', 'NJV')",,True,False,False,False
"('NMZ', 'NAN')",,False,False,False,False
"('NPV', 'NKX')",,False,False,False,False
"('NPV', 'NNY')",,False,True,False,False
"('NPV', 'NOM')",,False,False,False,False
"('NMZ', 'NQP')",,False,False,False,True
"('NCA', 'NUO')",,False,False,False,False
"('NYV', 'NEA')",,False,False,True,False
"('NUW', 'NUO')",,False,False,False,False
"('NMY', 'NXJ')",,False,False,True,True
"('NUV', 'NKX')",,False,False,False,False
"('NRK', 'NXJ')",,False,False,False,False
"('NOM', 'NRK')",,False,False,False,False
"('NAZ', 'NAD')",,False,False,False,False
"('NTX', 'NJV')",,False,False,True,False
"('NTX', 'NMI')",,False,False,False,False
"('UAA', 'UA')",,False,True,False,False
"('NID', 'NEV')",,False,False,False,False
"('NUV', 'NHA')",,False,False,False,False
"('NAN', 'NAC')",,False,False,False,True
"('NVG', 'NAD')",,False,False,False,False
"('NAN', 'NPV')",,False,False,False,True
"('NXP', 'NRK')",,False,False,False,True
"('NAD', 'NYV')",,False,False,True,False
"('NKG', 'NQP')",,True,False,False,False
"('NCA', 'NKX')",,False,False,True,False
"('NVG', 'NXC')",,False,False,False,False
"('NXQ', 'NMI')",,False,False,False,False
"('NHA', 'NCB')",,True,False,False,False
"('NMI', 'NXJ')",,False,False,False,True
"('NPN', 'NQP')",,False,False,False,False
"('NZF', 'NAN')",,False,False,False,False
"('NPV', 'NXC')",,False,False,False,False
"('NID', 'NMI')",,False,False,False,False
"('NMT', 'NUO')",,False,False,False,False
"('NMY', 'NEV')",,False,False,False,False
"('NCA', 'NAD')",,False,False,False,False
"('NYV', 'NMS')",,False,False,False,False
"('NIQ', 'NIM')",,False,False,False,False
"('NPN', 'NJV')",,False,True,False,False
"('NKG', 'NOM')",,False,False,False,False
