pair,2017Q4,2018Q1
"('FNF', 'TROX')",False,False
"('SNAP', 'NG')",False,False
"('STOR', 'OCSL')",False,False
"('PIH', 'ALSN')",False,False
"('GNC', 'RNR')",False,False
"('FMCB', 'STAF')",False,False
"('ICHR', 'ENPH')",False,False
"('LSYN', 'HDSN')",False,False
"('RMTI', 'MYE')",False,False
"('VRSN', 'GPK')",False,False
"('GNL', 'RGLD')",False,False
"('MTB', 'CUBE')",False,False
"('CTIB', 'TBI')",False,False
"('ARQL', 'FTEK')",False,False
"('ACIA', 'AA')",False,False
"('AMPG', 'GXXM')",True,False
"('CET', 'AZRX')",False,False
"('WTM', 'BHE')",False,False
"('EIX', 'ABC')",False,False
"('KLXI', 'BYM')",False,False
"('TWI', 'ESRT')",False,False
"('UTL', 'USAU')",False,False
"('CONN', 'CME')",False,False
"('LQMT', 'BXP')",False,False
"('AIMC', 'HASI')",False,False
"('CORT', 'GSBC')",False,False
"('PLYM', 'AYTU')",False,False
"('CHUBA', 'TWIN')",False,False
"('LAKE', 'DVD')",False,False
"('GBLI', 'MCK')",False,False
"('ESTE', 'CPSS')",False,False
"('AFG', 'LNT')",False,False
"('GKOS', 'HIBB')",False,False
"('AMGN', 'SBPH')",False,False
"('YRCW', 'MMP')",False,False
"('TDF', 'BGC')",False,False
"('AABA', 'EQR')",False,False
"('MWA', 'WYNN')",False,False
"('GLBR', 'QCOM')",False,False
"('KO', 'CTT')",True,False
"('BCOR', 'ACM')",False,False
"('AEHR', 'GF')",False,False
"('ORMP', 'WTM')",False,False
"('NKSH', 'DKL')",True,False
"('WLDN', 'EXP')",False,False
"('RSG', 'OFLX')",False,False
"('LSTR', 'JMF')",False,False
"('LC', 'QCOM')",True,False
"('DPWW', 'LE')",True,True
"('WSC', 'OIS')",False,False
"('RPXC', 'BMTM')",False,False
"('AXP', 'PB')",False,False
"('RDN', 'STLY')",False,False
"('BDSI', 'RMD')",False,False
"('VMW', 'BSF')",False,False
"('EGRX', 'HOG')",False,False
"('EMKR', 'LFUS')",False,False
"('BMS', 'COT')",False,DISSOLVED
"('SAMG', 'FNLC')",False,False
"('VASO', 'FVRG')",False,False
"('ERI', 'EV')",False,False
"('GTOR', 'MBFI')",False,DISSOLVED
"('FLIR', 'LOB')",False,False
"('ASIX', 'EBSB')",False,False
"('BFK', 'GXXM')",False,False
"('PME', 'SMED')",True,False
"('KEM', 'WMT')",False,False
"('VGM', 'MLR')",False,False
"('BLPH', 'TTD')",False,False
"('HUM', 'HPP')",False,False
"('ANY', 'QCRH')",False,False
"('NLS', 'PLOW')",False,False
"('CHFN', 'RPT')",False,False
"('STRM', 'STKL')",False,False
"('EXTN', 'LNTH')",False,False
"('OCIP', 'PRK')",False,False
"('LYTS', 'SHO')",False,False
"('MD', 'PENN')",False,False
"('TRMT', 'CG')",False,False
"('ORBC', 'FMBM')",False,False
"('HE', 'RARX')",False,False
"('VMW', 'KRP')",False,False
"('BLW', 'BANF')",False,False
"('FMI', 'INAP')",False,False
"('IDT', 'DK')",False,False
"('HCC', 'TIF')",False,False
"('JBL', 'IDRA')",False,False
"('DDR', 'CSBK')",False,False
"('MBOT', 'MAN')",False,False
"('GTE', 'NFG')",False,False
"('VGI', 'GROW')",False,False
"('GPK', 'CCBG')",False,False
"('STAR', 'SACH')",False,False
"('IVC', 'POWL')",False,False
"('SENS', 'VG')",False,False
"('BKU', 'ICHR')",False,False
"('SCMP', 'BTU')",False,DISSOLVED
"('KBR', 'EIGI')",False,False
"('CNA', 'NEM')",False,False
"('GPOR', 'IQV')",False,False
"('CNK', 'WBT')",False,False
"('YORW', 'BRQS')",False,False
"('CECE', 'PSTG')",False,False
"('BGSF', 'BBOX')",False,False
"('SPTN', 'DIN')",False,False
"('TNTY', 'MODN')",False,False
"('REEMF', 'PMBC')",False,False
"('GLYE', 'RVSB')",False,False
"('MCRB', 'DHIL')",False,False
"('CRSP', 'TACT')",False,False
"('AVD', 'UNH')",False,False
"('SATS', 'SLS')",False,False
"('CRVW', 'CIR')",False,False
"('VGI', 'NUE')",False,False
"('XL', 'SAFT')",False,False
"('WY', 'NAV')",False,False
"('AKS', 'PLD')",False,False
"('KEY', 'RIG')",False,False
"('IONS', 'LGL')",False,False
"('FISV', 'SRNA')",False,False
"('GNTX', 'SYN')",False,False
"('PTOI', 'DXCM')",False,True
"('VGI', 'WHR')",False,False
"('ABTX', 'FPL')",False,False
"('HMSY', 'SGRP')",False,False
"('BURL', 'APEN')",False,False
"('UNF', 'ATRO')",False,False
"('MPLX', 'AMWD')",False,False
"('SAMG', 'ASPN')",False,False
"('LSXMA', 'ONVO')",False,False
"('NVTR', 'SKAS')",False,False
"('FPRX', 'GEOS')",False,False
"('ABR', 'H')",False,False
"('TBI', 'BHLB')",False,False
"('NBN', 'COST')",False,False
"('THS', 'BANC')",False,False
"('IDA', 'CDE')",False,False
"('CPB', 'CNAB')",False,False
"('BTZ', 'CSHB')",False,False
"('WSBF', 'CA')",False,False
"('CERN', 'LIVN')",False,False
"('PGC', 'EMO')",False,False
"('AOS', 'LXU')",False,False
"('MSON', 'IMMR')",False,False
"('RLJ', 'UBFO')",False,False
"('CPRT', 'RTN')",False,False
"('NSTG', 'TTI')",False,False
"('MGEN', 'JILL')",False,False
"('DUK', 'ATRC')",False,False
"('JBSS', 'PFGC')",False,False
"('NGHC', 'ARR')",False,False
"('WOW', 'HSKA')",False,False
"('HIG', 'PTSI')",True,False
"('NRIM', 'FSLR')",False,False
"('ODFL', 'ARR')",False,False
"('UCBI', 'PTOI')",False,False
"('CCOI', 'H')",True,False
"('HAFC', 'WGO')",False,False
"('FNF', 'VSEC')",False,False
"('CSV', 'ENVA')",False,False
"('SMMF', 'HCHC')",False,False
"('WMT', 'AVY')",False,False
"('GNK', 'SAMG')",False,False
"('TTD', 'SGA')",False,False
"('PRU', 'STLY')",False,False
"('SPXC', 'IDRA')",False,False
"('ADXS', 'FKYS')",False,False
"('PAR', 'NYT')",False,False
"('PPR', 'DMLP')",False,False
"('VREX', 'PKG')",False,False
"('PKG', 'KLAC')",False,False
"('TNRG', 'IIPR')",True,False
"('AABA', 'ENVA')",False,False
"('EVHC', 'BSM')",False,False
"('BOH', 'BGR')",False,False
"('PNBK', 'EXP')",False,False
"('ULTA', 'RLH')",False,False
"('NWL', 'MAN')",True,False
"('IDN', 'IDT')",True,True
"('AVGR', 'ENBL')",False,False
"('AMRS', 'STRM')",False,False
"('GPX', 'MRSN')",False,False
"('MGNX', 'AEO')",False,False
"('EFR', 'PVBC')",False,False
"('CE', 'HCC')",True,False
"('JELD', 'SPR')",False,False
"('UTGN', 'NGTF')",False,False
"('ASH', 'CTXR')",False,False
"('EVI', 'NTAP')",False,False
"('EFC', 'GARS')",False,False
"('RGS', 'DOOR')",False,False
"('GSBC', 'BSET')",False,False
"('ABCP', 'VCAPX')",True,False
"('CISN', 'FHN')",False,False
"('XENT', 'SKAS')",False,False
"('CMD', 'WGO')",False,False
"('CNMD', 'OMF')",False,True
"('FLDM', 'CVS')",False,False
"('LIVN', 'MITL')",True,False
"('WKHS', 'BRTX')",False,False
"('COWN', 'ELMD')",False,False
"('VBF', 'AXS')",False,False
"('FBP', 'ROST')",False,False
"('GHC', 'BSF')",False,False
"('EXD', 'EVOL')",False,False
"('NEU', 'FRTA')",False,False
"('JYNT', 'LOCO')",False,False
"('MELI', 'CAT')",False,False
"('SYBT', 'ESNT')",True,False
"('XLNX', 'VST')",False,False
"('VPV', 'RSSS')",False,False
"('GWRE', 'VNO')",False,False
"('NYCB', 'XOM')",False,False
"('ITT', 'SGRP')",False,False
"('VGI', 'JCS')",False,False
"('PFE', 'FFNW')",False,False
"('ARAY', 'COBZ')",False,False
"('INTG', 'NEXT')",False,False
"('ZEUS', 'BSET')",False,False
"('KFRC', 'MUI')",False,False
"('PKI', 'AMAG')",True,False
"('CMI', 'GKOS')",False,False
"('AEMD', 'GMS')",False,False
"('CTSH', 'PAT')",False,DISSOLVED
"('TPCS', 'NPN')",False,False
