pair,2017Q4,2018Q1
"('ETW', 'EXD')",False,False
"('ETW', 'EVG')",False,False
"('ETW', 'ETG')",False,True
"('ETW', 'EXG')",False,False
"('ETW', 'ETV')",True,False
"('ETW', 'ETO')",False,False
"('ASB', 'KMB')",False,False
"('ASB', 'AAP')",False,False
"('SCL', 'WTFC')",False,False
"('AT', 'RPXC')",False,False
"('POL', 'FMC')",False,False
"('POL', 'GVA')",False,False
"('AAP', 'RLGY')",False,False
"('H', 'KSS')",False,True
"('ANTM', 'CDW')",False,False
"('ANTM', 'IBM')",False,False
"('KALV', 'DRNA')",False,False
"('KALV', 'WVE')",False,False
"('MDLZ', 'MBFI')",False,False
"('MED', 'TIVO')",False,False
"('MED', 'HAIN')",False,False
"('LPI', 'QEP')",False,False
"('ETO', 'EVT')",False,False
"('ETO', 'ETY')",False,False
"('ETO', 'EXD')",False,False
"('ETO', 'EVG')",False,False
"('ETO', 'ETG')",False,False
"('ETO', 'EXG')",False,False
"('ETO', 'ETV')",False,False
"('LGF-B', 'NAV')",False,False
"('DCT', 'MSCI')",False,False
"('HI', 'GWW')",False,False
"('WDFC', 'RMD')",False,False
"('ITGR', 'RPM')",False,False
"('POOL', 'UVV')",False,False
"('HOME', 'GMS')",False,False
"('DFS', 'CDW')",False,False
"('CVG', 'SWK')",False,False
"('TDF', 'IIF')",False,False
"('TDF', 'CHN')",False,True
"('TDF', 'TTF')",False,False
"('TDF', 'LDF')",False,False
"('TDF', 'IF')",False,False
"('TDF', 'GCH')",False,False
"('TDF', 'MXE')",False,False
"('TIPT', 'AJX')",False,False
"('MMS', 'WLTW')",False,False
"('CVLY', 'YORW')",False,False
"('T', 'PANW')",False,False
"('AT', 'NBL')",False,False
"('AT', 'WTTR')",False,False
"('SO', 'GPC')",False,False
"('SO', 'RF')",False,True
"('FTNT', 'FLGT')",False,False
"('ADP', 'PYPL')",False,False
"('FCPT', 'EPM')",False,False
"('FCPT', 'FOE')",False,False
"('UFI', 'MET')",True,False
"('UFI', 'PFE')",False,False
"('WPZ', 'BOKF')",False,False
"('IBCP', 'UFPI')",False,False
"('MSG', 'CLI')",False,False
"('MSG', 'FCB')",False,False
"('RLJ', 'M')",False,False
"('AKS', 'CAH')",False,False
"('GOOG', 'AMRS')",False,False
"('IT', 'NYT')",False,False
"('BBW', 'PRPH')",False,False
"('ATR', 'MKC')",False,False
"('CVA', 'EQR')",False,False
"('CVA', 'ELS')",False,False
"('CVA', 'EQC')",False,False
"('CCUR', 'AVNW')",False,False
"('FLWS', 'CHEF')",False,True
"('TILE', 'KNL')",False,False
"('WDC', 'ACN')",False,False
"('JKHY', 'LEG')",False,False
"('CRS', 'SBH')",False,False
"('VSTO', 'GOLF')",False,False
"('GCAP', 'FLIC')",False,False
"('RTRX', 'ACER')",False,True
"('ABT', 'VZ')",False,False
"('UNH', 'JPM')",False,False
"('UNH', 'AA')",False,False
"('UNH', 'WMT')",False,False
"('PFGC', 'HLT')",False,False
"('PFGC', 'AIG')",False,False
"('PFE', 'MET')",False,False
"('AXP', 'GRPN')",False,False
"('PG', 'HPE')",False,False
"('DDD', 'LMNX')",False,False
"('TTPH', 'CYTK')",False,False
"('TSE', 'UNVR')",True,False
"('TSE', 'FE')",False,False
"('DST', 'JBGS')",False,False
"('NKE', 'DIS')",False,False
"('LM', 'DVA')",False,False
"('LM', 'TEL')",False,False
"('BJRI', 'CLUB')",False,False
"('CTB', 'TAP')",False,False
"('LC', 'CYH')",True,False
"('LGL', 'GGO')",False,False
"('LGL', 'GLU')",False,False
"('LGL', 'GDV')",False,False
"('LGL', 'GDL')",False,False
"('LGL', 'BCV')",True,False
"('LGL', 'GGZ')",False,False
"('LGL', 'GAB')",False,False
"('LGL', 'GBL')",False,False
"('LGL', 'GGT')",False,False
"('AVY', 'FLR')",False,False
"('AVY', 'BEN')",False,False
"('IDXX', 'DYNT')",False,False
"('HLT', 'AIG')",False,False
"('SWK', 'PEP')",False,False
"('WBA', 'ASH')",False,False
"('JHA', 'USAT')",False,False
"('RMNI', 'KBLM')",False,False
"('BFAM', 'G')",False,False
"('OMC', 'PEGI')",False,False
"('ALXN', 'INCY')",False,True
"('UAA', 'IRDM')",False,False
"('UA', 'IRDM')",False,False
"('VRSK', 'ENS')",False,False
"('SABR', 'BA')",False,False
"('HRI', 'MMM')",False,False
"('MAR', 'RGS')",False,False
"('ZNGA', 'ARAY')",False,False
"('CDNA', 'TNDM')",False,False
"('SWKH', 'CTO')",False,False
"('ABE', 'ICAD')",False,False
"('HHC', 'MDP')",False,False
"('FG', 'UAN')",False,False
"('EW', 'TDY')",False,False
"('RF', 'ADP')",False,False
"('DE', 'HNI')",False,False
"('ELS', 'EQR')",False,False
"('ELS', 'EQC')",False,False
"('UNP', 'MMC')",False,False
"('EQC', 'EQR')",False,False
"('YTEN', 'SLS')",False,False
"('YTEN', 'ITCI')",False,False
"('KSS', 'GT')",False,False
"('MCVT', 'LSYN')",False,False
"('ECL', 'GLAE')",False,False
"('GWW', 'CTL')",False,False
"('AGFS', 'HAL')",False,False
"('AGFS', 'LYB')",False,False
"('CRS', 'KLXI')",False,False
"('BGT', 'MET')",False,False
"('BGT', 'ADP')",False,False
"('XELA', 'ATH')",False,False
"('XELA', 'NCLH')",False,False
"('XELA', 'CZR')",False,False
"('MTZ', 'BMNM')",False,False
"('VTVT', 'REV')",False,False
"('CLX', 'AMP')",False,False
"('USFD', 'GDI')",False,False
"('AGLE', 'JAZZ')",False,False
"('TTF', 'IIF')",False,False
"('TTF', 'CHN')",False,False
"('TTF', 'LDF')",False,False
"('TTF', 'IF')",False,False
"('TTF', 'GCH')",False,False
"('TTF', 'MXE')",False,False
"('ATW', 'MMP')",False,False
"('T', 'TUP')",False,False
"('AMNB', 'STLY')",False,False
"('AMNB', 'PGEM')",False,False
"('WWD', 'HXL')",False,False
"('ROP', 'SPR')",False,False
"('KBAL', 'HI')",False,False
"('CAR', 'CVG')",False,False
"('KKR', 'HPE')",False,False
"('BA', 'JNJ')",False,False
"('BA', 'AXP')",False,False
"('RXN', 'BDC')",False,False
"('CAPS', 'DTRM')",False,True
"('CAPS', 'TWMC')",False,True
"('CAPS', 'GULTU')",False,True
