pair,2017Q4,2018Q1
"('MLNX', 'SNA')",False,False
"('JWN', 'GGO')",False,False
"('ESE', 'ZTS')",False,False
"('KERX', 'HELE')",False,False
"('TTEN', 'RRR')",False,False
"('EPM', 'BCV')",True,False
"('AMRH', 'FNBG')",False,False
"('DSE', 'NCOM')",False,False
"('AMBC', 'UTX')",False,False
"('EVHC', 'CCLP')",False,False
"('CGBD', 'DPWW')",True,False
"('CTG', 'SAL')",False,False
"('WBT', 'DCOM')",False,False
"('FMBM', 'SHEN')",False,False
"('RILY', 'BBW')",False,False
"('RNST', 'CAG')",False,False
"('ATOM', 'SUP')",False,False
"('PACW', 'ODC')",False,False
"('GBLI', 'NNUP')",False,False
"('BIEI', 'CBL')",False,False
"('OMED', 'SIGA')",False,False
"('MU', 'AHNR')",False,False
"('FNGN', 'MELR')",False,False
"('DVN', 'CSL')",False,True
"('RSPP', 'AMN')",False,False
"('IDTI', 'PDM')",False,False
"('HFBL', 'HVBC')",False,False
"('AEE', 'UTI')",False,False
"('MMU', 'TRMT')",False,False
"('MDIT', 'TCF')",False,False
"('LPSN', 'FULT')",False,False
"('SRCE', 'DIN')",False,False
"('TPL', 'SVRA')",False,False
"('PGEM', 'VAR')",False,False
"('SHAK', 'FSBW')",False,False
"('GME', 'SRPT')",False,False
"('ORN', 'CVI')",False,False
"('LH', 'CMRX')",False,False
"('AJG', 'TRT')",False,False
"('STOR', 'SRLP')",False,False
"('AFB', 'HOME')",False,False
"('DOC', 'CPSH')",False,False
"('HA', 'FNBG')",False,False
"('BNED', 'PBIO')",False,False
"('NOA', 'VVR')",False,False
"('BKYI', 'GLV')",False,False
"('EPZM', 'DPZ')",False,True
"('CALD', 'ACV')",False,False
"('CIEN', 'FR')",False,False
"('DLHC', 'B')",False,False
"('PFS', 'JBSS')",False,False
"('EVG', 'CLGX')",False,False
"('CSX', 'BFAM')",False,False
"('ARCB', 'DPZ')",False,False
"('MRTN', 'SBH')",False,False
"('LLEX', 'MRLN')",False,False
"('BOLD', 'FOLD')",False,False
"('CWH', 'XRX')",False,False
"('USB', 'IDA')",False,False
"('RL', 'CMC')",False,False
"('BSM', 'RIG')",False,False
"('SSY', 'GCAP')",False,False
"('DCPH', 'FUNC')",False,False
"('MAS', 'AABA')",False,False
"('XBIO', 'EDGW')",False,True
"('FISI', 'DISH')",False,False
"('GCP', 'SRI')",False,False
"('KLIC', 'BCOV')",False,False
"('AVEO', 'HOS')",False,False
"('GIFI', 'GLXZ')",False,False
"('BAC', 'UBSI')",False,False
"('FNCX', 'MXIM')",True,False
"('ATHX', 'NURO')",True,False
"('TWOU', 'NWE')",False,False
"('TNXP', 'RMD')",False,False
"('VPV', 'CMP')",False,False
"('NVDA', 'NCLH')",False,False
"('ERH', 'GTY')",False,False
"('THFF', 'ESGR')",False,False
"('KINS', 'POLA')",False,False
"('AGLE', 'ICBK')",False,False
"('TPC', 'TRIP')",False,False
"('URI', 'GPP')",False,False
"('PK', 'BBLG')",False,False
"('ARCH', 'BCC')",False,False
"('AON', 'UNTY')",False,False
"('CMTL', 'PHOT')",False,False
"('PMM', 'TBI')",False,False
"('OPY', 'ESES')",False,False
"('FRTA', 'NIE')",False,False
"('KELYA', 'GLUU')",False,False
